ogc_fid,code_insee,statut,url_carto
29,21055,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21055
30,21061,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21061
31,21063,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21063
32,21065,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21065
33,21067,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21067
34,21070,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21070
35,21075,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21075
36,21080,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21080
37,21081,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21081
38,21082,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21082
39,21084,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21084
40,21085,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21085
41,21087,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21087
42,21088,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21088
43,21089,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21089
44,21092,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21092
